date,IntelPriceUSD,IntelTotalReturnUSD,retLag1,retLag2,retLag3,retLag4,retLag5,volume,priceImpact,Energy,Material,Industrial,ConsDisc,ConsStap,HealthCare,Fin,IT,Telecom,Util
1995-02-07,73,-0.008488964,0.00170068,0.018174766,0.022130973,0.018018018,-0.008928571,2792000,4.17E-05,-0.003733336,0.005891994,-0.00204323,0.002196941,0.001727128,-0.004116338,-0.001947345,-0.00347685,-0.000359387,0.00066275
1995-02-08,76.625,0.049657534,-0.008488964,0.00170068,0.018174766,0.022130973,0.018018018,8508000,7.62E-05,0.002234521,-0.001305097,-0.000724705,0.00129581,-0.003711911,0.000279845,0.001335606,0.009883651,0.003260025,-0.000972712
1995-02-09,77.5,0.01141925,0.049657534,-0.008488964,0.00170068,0.018174766,0.022130973,7906000,1.86E-05,-3.25E-03,0.001592198,0.002758888,-0.000306808,-0.004852799,-6.19E-03,-0.005341039,0.01150871,-0.003324075,-0.011494647
1995-02-10,77.375,-0.001612903,0.01141925,0.049657534,-0.008488964,0.00170068,0.018174766,5532000,3.77E-06,9.36E-06,0.002779349,0.005016868,0.006799337,0.004821551,-4.14E-05,-0.003106236,0.004749057,0.005913194,-0.00022952
1995-02-13,77.125,-0.003231018,-0.001612903,0.01141925,0.049657534,-0.008488964,0.00170068,3367000,1.24E-05,0.00382053,0.006265939,0.004136105,-0.000515393,-0.002515433,-0.003253833,-0.000980596,-0.000259723,-0.003692167,-3.17E-03
1995-02-14,78.5,0.017828201,-0.003231018,-0.001612903,0.01141925,0.049657534,-0.008488964,4302000,5.28E-05,0.003627943,0.002943648,0.001878694,0.001256295,0.001684083,-0.004553753,0.006317804,0.003119857,-0.004830323,8.00E-05
1995-02-15,79.75,0.015923567,0.017828201,-0.003231018,-0.001612903,0.01141925,0.049657534,7122000,2.80E-05,0.006665159,0.009229835,0.009751557,0.002367302,-0.000258622,0.000970605,0.006222048,0.002728924,0.00304859,0.006597301
1995-02-16,79.875,0.001567398,0.015923567,0.017828201,-0.003231018,-0.001612903,0.01141925,5937000,3.31E-06,0.001797083,-0.000857868,-0.000501467,0.00059391,0.004859707,-0.000977201,-0.00276369,0.013884007,-0.011686871,-0.001572985
1995-02-17,78.813,-0.013295775,0.001567398,0.015923567,0.017828201,-0.003231018,-0.001612903,5057000,3.34E-05,0.000928753,-0.00352151,-0.006269395,-0.008013446,-0.00442742,0.000587095,-0.003631074,-0.023789716,-0.01283307,-0.003151172
1995-02-21,79,0.002372705,-0.013295775,0.001567398,0.015923567,0.017828201,-0.003231018,4223000,7.11E-06,0.009833353,0.00262722,0.002572325,0.001224959,-0.000105687,-0.002445952,-0.002889732,-0.001538545,-0.001220743,0.002009221
1995-02-22,79.625,0.007911392,0.002372705,-0.013295775,0.001567398,0.015923567,0.017828201,2756000,3.61E-05,0.000326258,0.001007077,0.006721134,0.001666097,0.000373931,0.006802327,0.005652053,0.007545649,0.012567972,0.005084783
1995-02-23,78.063,-0.019616954,0.007911392,0.002372705,-0.013295775,0.001567398,0.015923567,5474000,4.59E-05,-0.001819582,0.003689193,0.005421008,0.002073069,0.006839412,0.007277025,0.013060357,-0.00365652,0.006145215,-1.61E-03
1995-02-24,78.5,0.005598043,-0.019616954,0.007911392,0.002372705,-0.013295775,0.001567398,4898000,1.46E-05,-0.000792149,-0.00097686,-0.00134329,0.001252603,0.009334646,0.005133192,0.003994787,-0.002525303,0.004025659,9.66E-05
1995-02-27,78.313,-0.002382166,0.005598043,-0.019616954,0.007911392,0.002372705,-0.013295775,3222000,9.44E-06,-0.003897936,-0.005200688,-0.009531538,-0.011162334,-0.008466757,-0.006806253,-0.009020003,-0.007545457,-0.013309741,-0.005703099
1995-02-28,79.75,0.018349444,-0.002382166,0.005598043,-0.019616954,0.007911392,0.002372705,3386000,6.80E-05,0.004771805,0.004089609,0.011970516,0.005821823,0.003684122,0.008225428,0.005717669,0.018116456,0.009987534,0.0060316
1995-03-01,78.75,-0.012539185,0.018349444,-0.002382166,0.005598043,-0.019616954,0.007911392,4079000,3.90E-05,-0.001593486,-0.009280269,-0.004944017,-0.00250864,-0.001702937,-0.000681714,-0.003430263,0.003565954,-0.008663391,-0.012745879
1995-03-02,78.984,0.002971429,-0.012539185,0.018349444,-0.002382166,0.005598043,-0.019616954,2445000,1.54E-05,0.004507175,-0.006222514,-0.005904267,-0.00112348,0.000196563,0.001386467,0.000716115,0.004302593,-0.000473611,-0.008225244
1995-03-03,81.875,0.03660235,0.002971429,-0.012539185,0.018349444,-0.002382166,0.005598043,8804000,5.08E-05,-0.001200746,-0.001348185,0.000559399,0.000420122,0.002530852,-0.000904365,-0.003982138,0.01823144,-0.00455554,-0.001645703
